tube_no,barnname,rfid,lact,grp,dim_days,date,day_of_study,daily_milking,study_milking,milking_end,avgmilkdur_mins,milking_stall,milk_wt_lbs,tube_number,date_1,fat_percent,protein_percent,scc_thous_per_ml,lactose_percent,other_solids_percent,mun_mg_per_dl,solids_not_fat_percent,total_solids_percent,endtime
12,1198,840003268417676,1,A1,71,2025-06-30,1,2,1,5:52p,3.9,12,35.3,12,2025-06-30,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2025-06-30 17:52:00
24,1170,840003268417023,1,A1,101,2025-06-30,1,2,1,6:15p,3.7,12,32.9,24,2025-06-30,3.6,2.7,40,4.8,5.9,14.3,8.6,12.2,2025-06-30 18:15:00
36,1224,840003268416437,1,A1,22,2025-06-30,1,2,1,6:25p,3.4,12,42.6,36,2025-06-30,2.6,2.6,95,4.7,5.8,10.1,8.4,11.0,2025-06-30 18:25:00
48,1209,840003268417681,1,A1,30,2025-06-30,1,2,1,6:03p,3.7,12,37.8,48,2025-06-30,3.0,2.5,169,4.7,5.8,12.7,8.3,11.3,2025-06-30 18:03:00
60,1135,840003268417062,1,A1,208,2025-06-30,1,2,1,6:35p,3.8,12,31.0,60,2025-06-30,3.9,3.0,65,4.5,5.6,13.1,8.6,12.5,2025-06-30 18:35:00
72,905,840003249943132,2,B2,239,2025-06-30,1,3,1,6:49p,5.0,12,30.4,72,2025-06-30,4.0,2.8,5,5.0,6.1,17.0,8.9,12.9,2025-06-30 18:49:00
84,999,840003250697439,2,B2,48,2025-06-30,1,3,1,7:03p,4.5,12,36.4,84,2025-06-30,2.0,2.7,19,4.8,5.9,12.0,8.6,10.6,2025-06-30 19:03:00
96,527,840003236993693,5,B2,176,2025-06-30,1,3,1,7:13p,6.2,12,38.2,96,2025-06-30,3.2,2.6,16,4.6,5.7,14.4,8.3,11.5,2025-06-30 19:13:00
108,377,840003236994098,6,B2,230,2025-06-30,1,3,1,7:24p,4.4,12,32.6,108,2025-06-30,3.6,2.7,395,4.4,5.5,13.3,8.2,11.8,2025-06-30 19:24:00
120,754,840003236994260,3,B2,201,2025-06-30,1,3,1,7:35p,5.5,12,39.9,120,2025-06-30,2.9,2.9,580,4.7,5.9,12.2,8.8,11.7,2025-06-30 19:35:00
132,1135,840003268417062,1,A1,208,2025-06-30,1,3,1,10:38p,3.8,12,15.8,132,2025-06-30,3.7,2.9,102,4.4,5.5,11.2,8.4,12.1,2025-06-30 22:38:00
144,1144,840003268417043,1,A1,190,2025-06-30,1,3,1,10:50p,4.3,12,18.3,144,2025-06-30,3.7,2.7,14,4.6,5.7,13.8,8.4,12.1,2025-06-30 22:50:00
156,1172,840003268417032,1,A1,130,2025-06-30,1,3,1,10:59p,3.2,12,22.1,156,2025-06-30,2.7,2.8,1349,4.6,5.7,13.6,8.5,11.2,2025-06-30 22:59:00
168,1214,840003268416452,1,A1,26,2025-06-30,1,3,1,11:07p,4.0,12,20.3,168,2025-06-30,4.0,2.8,91,4.8,5.9,11.0,8.7,12.7,2025-06-30 23:07:00
180,1200,840003268417695,1,A1,52,2025-06-30,1,3,1,11:20p,4.7,12,22.2,180,2025-06-30,3.9,2.7,14,5.0,6.1,14.5,8.8,12.7,2025-06-30 23:20:00
192,679,840003236994043,4,B2,208,2025-07-01,1,1,2,5:58a,6.1,12,37.9,192,2025-07-01,4.1,3.0,16,4.8,5.9,12.8,8.9,13.0,2025-07-01 05:58:00
204,901,840003268417022,3,B2,43,2025-07-01,1,1,2,6:14a,4.8,12,51.1,204,2025-07-01,2.3,2.4,4,4.4,5.5,9.7,7.9,10.2,2025-07-01 06:14:00
216,210,840003236992754,7,B2,123,2025-07-01,1,1,2,6:29a,4.5,12,48.9,216,2025-07-01,3.8,2.6,2,4.8,5.9,14.1,8.5,12.3,2025-07-01 06:29:00
228,956,840003250697481,2,B2,207,2025-07-01,1,1,2,6:42a,4.0,12,46.3,228,2025-07-01,3.3,3.1,18,4.8,6.0,10.0,9.1,12.4,2025-07-01 06:42:00
240,791,840003236994269,3,B2,284,2025-07-01,1,1,2,6:54a,5.6,12,49.1,240,2025-07-01,3.1,2.9,130,4.9,6.0,13.5,8.9,12.0,2025-07-01 06:54:00
252,1162,840003268417028,1,A1,108,2025-07-01,1,1,2,10:04a,3.7,12,45.7,252,2025-07-01,2.8,2.6,43,5.1,6.2,15.9,8.8,11.6,2025-07-01 10:04:00
