tube_no,barnname,rfid,lact,grp,dim_days,date,day_of_study,daily_milking,study_milking,milking_end,avgmilkdur_mins,milking_stall,milk_wt_lbs,tube_number,date_1,fat_percent,protein_percent,scc_thous_per_ml,lactose_percent,other_solids_percent,mun_mg_per_dl,solids_not_fat_percent,total_solids_percent,endtime
11,1172,840003268417032,1,A1,130,2025-06-30,1,2,1,5:52p,3.2,11,30.2,11,2025-06-30,2.4,2.8,1314,4.6,5.8,14.8,8.6,11.0,2025-06-30 17:52:00
23,1194,840003268417675,1,A1,42,2025-06-30,1,2,1,6:15p,4.2,11,33.8,23,2025-06-30,3.4,2.9,25,5.0,6.1,9.0,9.0,12.4,2025-06-30 18:15:00
35,1213,840003268417672,1,A1,35,2025-06-30,1,2,1,6:25p,3.8,11,32.2,35,2025-06-30,2.8,2.4,149,4.4,5.5,13.8,7.9,10.7,2025-06-30 18:25:00
47,1162,840003268417028,1,A1,107,2025-06-30,1,2,1,6:03p,3.7,11,33.0,47,2025-06-30,3.4,2.6,101,5.0,6.2,16.6,8.8,12.2,2025-06-30 18:03:00
59,1210,840003268417717,1,A1,33,2025-06-30,1,2,1,6:36p,3.7,11,29.4,59,2025-06-30,3.4,2.7,28,4.8,5.9,12.2,8.6,12.0,2025-06-30 18:36:00
71,826,840003236992668,3,B2,204,2025-06-30,1,3,1,6:49p,4.4,11,33.9,71,2025-06-30,3.1,2.8,11,5.2,6.3,17.7,9.1,12.2,2025-06-30 18:49:00
83,629,840003236993341,4,B2,188,2025-06-30,1,3,1,7:03p,5.0,11,39.5,83,2025-06-30,3.6,3.0,11,4.8,5.9,13.5,8.9,12.5,2025-06-30 19:03:00
95,776,840003236994280,3,B2,257,2025-06-30,1,3,1,7:13p,4.8,11,36.6,95,2025-06-30,4.1,2.7,20,5.0,6.1,15.0,8.8,12.9,2025-06-30 19:13:00
107,709,840003236994255,4,B2,141,2025-06-30,1,3,1,7:24p,4.7,11,31.5,107,2025-06-30,4.1,2.8,7,5.0,6.2,16.3,9.0,13.1,2025-06-30 19:24:00
119,854,840003249943150,3,B2,51,2025-06-30,1,3,1,7:34p,5.2,11,46.4,119,2025-06-30,1.0,2.9,3,5.1,6.2,8.8,9.1,10.1,2025-06-30 19:34:00
131,1145,840003268417034,1,A1,188,2025-06-30,1,3,1,10:38p,3.2,11,19.6,131,2025-06-30,3.8,3.0,309,4.8,5.9,10.7,8.9,12.7,2025-06-30 22:38:00
143,1175,840003268417070,1,A1,91,2025-06-30,1,3,1,10:49p,3.4,11,19.6,143,2025-06-30,4.1,2.9,68,4.7,5.8,14.3,8.7,12.8,2025-06-30 22:49:00
155,1171,840003268417037,1,A1,125,2025-06-30,1,3,1,10:59p,3.3,11,21.1,155,2025-06-30,2.3,2.7,166,4.4,5.5,15.3,8.2,10.5,2025-06-30 22:59:00
167,1170,840003268417023,1,A1,101,2025-06-30,1,3,1,11:07p,3.7,11,22.2,167,2025-06-30,3.5,2.7,76,4.7,5.8,13.2,8.5,12.0,2025-06-30 23:07:00
179,1168,840003268417049,1,A1,106,2025-06-30,1,3,1,11:17p,3.7,11,21.0,179,2025-06-30,3.7,2.7,110,4.8,6.0,14.3,8.7,12.4,2025-06-30 23:17:00
191,408,840003236993349,5,B2,250,2025-07-01,1,1,2,5:58a,3.6,11,41.7,191,2025-07-01,3.8,3.1,239,4.6,5.7,11.3,8.8,12.6,2025-07-01 05:58:00
203,584,840003236994201,5,B2,142,2025-07-01,1,1,2,6:14a,3.6,11,43.0,203,2025-07-01,3.3,3.0,24,4.8,6.0,14.4,9.0,12.3,2025-07-01 06:14:00
