tube_no,barnname,rfid,lact,grp,dim_days,date,day_of_study,daily_milking,study_milking,milking_end,avgmilkdur_mins,milking_stall,milk_wt_lbs,tube_number,date_1,fat_percent,protein_percent,scc_thous_per_ml,lactose_percent,other_solids_percent,mun_mg_per_dl,solids_not_fat_percent,total_solids_percent,endtime
4,1174,840003268416657,1,A1,114,2025-06-30,1,2,1,5:46p,3.4,4,32.8,4,2025-06-30,3.7,2.9,17,4.8,5.9,14.4,8.8,12.5,2025-06-30 17:46:00
16,1179,840003268417711,1,A1,85,2025-06-30,1,2,1,6:09p,4.1,4,34.6,16,2025-06-30,3.1,2.6,109,4.9,6.0,13.8,8.6,11.7,2025-06-30 18:09:00
28,1217,840003268416447,1,A1,28,2025-06-30,1,2,1,6:19p,4.2,4,18.4,28,2025-06-30,3.8,2.2,105,4.8,6.0,15.2,8.2,12.0,2025-06-30 18:19:00
40,1188,840003268417693,1,A1,84,2025-06-30,1,2,1,5:58p,4.5,4,35.0,40,2025-06-30,3.1,2.7,19,4.8,6.0,13.0,8.7,11.8,2025-06-30 17:58:00
52,1199,840003268417720,1,A1,38,2025-06-30,1,2,1,6:31p,3.2,4,30.4,52,2025-06-30,3.6,2.9,19,4.9,6.0,15.0,8.9,12.5,2025-06-30 18:31:00
64,679,840003236994043,4,B2,207,2025-06-30,1,3,1,6:43p,6.3,4,38.4,64,2025-06-30,4.3,3.0,21,5.0,6.1,13.7,9.1,13.4,2025-06-30 18:43:00
76,907,840003249943144,2,B2,212,2025-06-30,1,3,1,6:58p,4.2,4,36.5,76,2025-06-30,3.3,2.9,1214,4.8,5.9,14.1,8.8,12.1,2025-06-30 18:58:00
88,926,840003249943149,2,B2,273,2025-06-30,1,3,1,7:08p,3.5,4,30.4,88,2025-06-30,3.4,2.9,38,4.9,6.0,15.5,8.9,12.3,2025-06-30 19:08:00
100,683,840003236994031,4,B2,185,2025-06-30,1,3,1,7:18p,4.4,4,41.3,100,2025-06-30,3.5,2.7,4,5.0,6.1,15.4,8.8,12.3,2025-06-30 19:18:00
112,458,840003236992403,6,B2,23,2025-06-30,1,3,1,7:29p,4.3,4,31.2,112,2025-06-30,2.9,2.8,65,4.8,6.0,8.0,8.8,11.7,2025-06-30 19:29:00
124,1143,840003268417036,1,A1,199,2025-06-30,1,3,1,10:42p,4.3,4,19.9,124,2025-06-30,4.0,3.1,90,4.8,5.9,14.2,9.0,13.0,2025-06-30 22:42:00
136,1173,840003268417025,1,A1,111,2025-06-30,1,3,1,10:54p,4.2,4,20.4,136,2025-06-30,3.5,2.7,129,5.0,6.1,12.4,8.8,12.3,2025-06-30 22:54:00
148,1118,840003268416684,1,A1,242,2025-06-30,1,3,1,11:03p,3.7,4,20.4,148,2025-06-30,4.1,2.9,21,4.7,5.8,15.3,8.7,12.8,2025-06-30 23:03:00
160,1174,840003268416657,1,A1,114,2025-06-30,1,3,1,11:12p,3.4,4,26.9,160,2025-06-30,3.5,2.9,18,4.8,5.9,13.4,8.8,12.3,2025-06-30 23:12:00
172,1186,840003268417687,1,A1,67,2025-06-30,1,3,1,11:24p,4.3,4,24.4,172,2025-06-30,2.8,2.5,938,4.6,5.7,13.8,8.2,11.0,2025-06-30 23:24:00
184,34,840003236992766,7,B2,157,2025-07-01,1,1,2,6:13a,4.1,4,43.9,184,2025-07-01,3.3,3.0,276,4.5,5.6,10.8,8.6,11.9,2025-07-01 06:13:00
196,776,840003236994280,3,B2,258,2025-07-01,1,1,2,6:27a,4.7,4,53.1,196,2025-07-01,3.0,2.6,28,5.0,6.1,11.5,8.7,11.7,2025-07-01 06:27:00
208,1023,840003250697412,2,B2,37,2025-07-01,1,1,2,6:38a,5.2,4,65.6,208,2025-07-01,2.3,2.7,0,5.0,6.1,12.3,8.8,11.1,2025-07-01 06:38:00
220,180,840003236992779,7,B2,192,2025-07-01,1,1,2,6:51a,4.0,4,50.9,220,2025-07-01,3.0,2.6,614,4.6,5.7,14.8,8.3,11.3,2025-07-01 06:51:00
232,854,840003249943150,3,B2,52,2025-07-01,1,1,2,7:02a,5.2,4,59.8,232,2025-07-01,2.6,2.6,36,4.9,6.0,8.7,8.6,11.2,2025-07-01 07:02:00
244,1151,840003268417052,1,A1,181,2025-07-01,1,1,2,9:53a,4.2,4,48.7,244,2025-07-01,2.9,2.5,4,4.7,5.8,14.0,8.3,11.2,2025-07-01 09:53:00
256,1167,840003268417033,1,A1,130,2025-07-01,1,1,2,10:06a,3.6,4,43.1,256,2025-07-01,3.4,3.0,30,5.1,6.2,13.4,9.2,12.6,2025-07-01 10:06:00
268,1214,840003268416452,1,A1,27,2025-07-01,1,1,2,10:25a,4.2,4,42.7,268,2025-07-01,2.9,2.9,9,4.9,6.0,11.1,8.9,11.8,2025-07-01 10:25:00
280,1191,840003268417677,1,A1,75,2025-07-01,1,1,2,10:37a,4.2,4,45.2,280,2025-07-01,3.4,2.7,149,5.1,6.2,14.3,8.9,12.3,2025-07-01 10:37:00
292,1135,840003268417062,1,A1,209,2025-07-01,1,1,2,10:49a,3.9,4,50.9,292,2025-07-01,3.2,2.8,39,4.6,5.8,14.4,8.6,11.8,2025-07-01 10:49:00
304,662,840003236994009,4,B2,128,2025-07-01,1,2,2,11:17a,4.2,4,31.0,304,2025-07-01,3.6,2.4,106,4.8,5.9,15.3,8.3,11.9,2025-07-01 11:17:00
316,776,840003236994280,3,B2,258,2025-07-01,1,2,2,11:27a,4.7,4,23.1,316,2025-07-01,4.5,2.5,26,4.8,6.0,14.7,8.5,13.0,2025-07-01 11:27:00
328,947,840003250697476,2,B2,232,2025-07-01,1,2,2,11:35a,3.3,4,21.5,328,2025-07-01,4.7,2.8,55,4.6,5.7,18.6,8.5,13.2,2025-07-01 11:35:00
340,180,840003236992779,7,B2,192,2025-07-01,1,2,2,11:44a,4.0,4,23.2,340,2025-07-01,3.6,2.4,1504,4.4,5.6,16.5,8.0,11.6,2025-07-01 11:44:00
352,961,840003250697461,2,B2,234,2025-07-01,1,2,2,11:55a,3.1,4,18.3,352,2025-07-01,3.7,3.0,1427,4.6,5.8,10.9,8.8,12.5,2025-07-01 11:55:00
364,1188,840003268417693,1,A1,85,2025-07-01,2,2,3,5:50p,4.5,4,36.7,364,2025-07-01,3.4,2.7,21,4.8,5.9,13.3,8.6,12.0,2025-07-01 17:50:00
376,1195,840003268417703,1,A1,45,2025-07-01,2,2,3,6:02p,3.2,4,32.2,376,2025-07-01,3.2,2.5,24,4.9,6.0,13.1,8.5,11.7,2025-07-01 18:02:00
388,1133,840003268417071,1,A1,209,2025-07-01,2,2,3,6:12p,3.8,4,25.2,388,2025-07-01,3.2,3.1,291,4.8,5.9,12.3,9.0,12.2,2025-07-01 18:12:00
400,1137,840003268417057,1,A1,214,2025-07-01,2,2,3,6:24p,3.6,4,33.5,400,2025-07-01,3.3,2.9,0,5.0,6.2,11.6,9.1,12.4,2025-07-01 18:24:00
412,1214,840003268416452,1,A1,27,2025-07-01,2,2,3,6:31p,4.2,4,31.8,412,2025-07-01,3.8,2.8,39,4.8,6.0,11.4,8.8,12.6,2025-07-01 18:31:00
424,662,840003236994009,4,B2,128,2025-07-01,2,3,3,6:44p,4.2,4,46.6,424,2025-07-01,3.1,2.6,115,4.8,6.0,10.5,8.6,11.7,2025-07-01 18:44:00
436,687,840003236992755,4,B2,254,2025-07-01,2,3,3,6:58p,4.6,4,32.3,436,2025-07-01,2.7,2.9,108,3.9,5.0,15.9,7.9,10.6,2025-07-01 18:58:00
448,848,840003250697442,3,B2,45,2025-07-01,2,3,3,7:10p,4.3,4,47.5,448,2025-07-01,3.9,2.7,10,5.1,6.2,13.8,8.9,12.8,2025-07-01 19:10:00
460,425,840003236994213,5,B2,27,2025-07-01,2,3,3,7:21p,5.8,4,35.4,460,2025-07-01,3.6,2.6,261,4.8,6.0,11.3,8.6,12.2,2025-07-01 19:21:00
472,791,840003236994269,3,B2,284,2025-07-01,2,3,3,7:35p,5.6,4,40.1,472,2025-07-01,3.7,2.9,160,4.9,6.0,14.7,8.9,12.6,2025-07-01 19:35:00
484,1198,840003268417676,1,A1,73,2025-07-01,2,3,3,10:53p,4.0,4,30.3,484,2025-07-01,2.3,2.5,178,4.9,6.0,11.1,8.5,10.8,2025-07-01 22:53:00
496,1189,840003268417685,1,A1,106,2025-07-01,2,3,3,11:06p,2.6,4,16.3,496,2025-07-01,4.0,3.2,243,4.8,6.0,11.0,9.2,13.2,2025-07-01 23:06:00
508,1172,840003268417032,1,A1,132,2025-07-01,2,3,3,11:16p,3.2,4,23.8,508,2025-07-01,2.7,2.8,1203,4.5,5.6,12.5,8.4,11.1,2025-07-01 23:16:00
520,1149,840003268417040,1,A1,85,2025-07-01,2,3,3,11:32p,6.8,4,26.6,520,2025-07-01,2.4,2.4,518,4.7,5.8,10.4,8.2,10.6,2025-07-01 23:32:00
532,1210,840003268417717,1,A1,35,2025-07-01,2,3,3,11:44p,3.8,4,19.6,532,2025-07-01,3.4,2.8,35,4.8,6.0,11.5,8.8,12.2,2025-07-01 23:44:00
544,926,840003249943149,2,B2,275,2025-07-02,2,1,4,5:58a,3.6,4,50.9,544,2025-07-02,3.6,2.8,22,4.8,5.9,12.7,8.7,12.3,2025-07-02 05:58:00
556,826,840003236992668,3,B2,206,2025-07-02,2,1,4,6:13a,4.1,4,50.6,556,2025-07-02,3.1,2.7,6,5.1,6.2,16.2,8.9,12.0,2025-07-02 06:13:00
568,629,840003236993341,4,B2,190,2025-07-02,2,1,4,6:28a,5.1,4,47.0,568,2025-07-02,3.0,3.0,7,4.8,6.0,9.8,9.0,12.0,2025-07-02 06:28:00
580,776,840003236994280,3,B2,259,2025-07-02,2,1,4,6:39a,4.8,4,60.8,580,2025-07-02,2.8,2.7,13,4.9,6.0,11.3,8.7,11.5,2025-07-02 06:39:00
592,916,840003249943143,2,B2,316,2025-07-02,2,1,4,6:55a,4.8,4,49.0,592,2025-07-02,3.6,3.0,16,4.8,5.9,14.8,8.9,12.5,2025-07-02 06:55:00
604,1173,840003268417025,1,A1,113,2025-07-02,2,1,4,9:36a,4.3,4,49.6,604,2025-07-02,2.3,2.7,120,5.0,6.1,12.2,8.8,11.1,2025-07-02 09:36:00
616,1189,840003268417685,1,A1,106,2025-07-02,2,1,4,9:47a,2.6,4,35.8,616,2025-07-02,3.4,3.1,75,4.9,6.0,12.6,9.1,12.5,2025-07-02 09:47:00
628,1119,840003268416692,1,A1,135,2025-07-02,2,1,4,9:57a,4.6,4,48.0,628,2025-07-02,3.7,3.1,84,4.7,5.8,15.0,8.9,12.6,2025-07-02 09:57:00
640,1192,840003268417694,1,A1,70,2025-07-02,2,1,4,10:08a,3.0,4,37.9,640,2025-07-02,2.5,2.4,121,4.7,5.8,15.7,8.2,10.7,2025-07-02 10:08:00
652,1195,840003268417703,1,A1,46,2025-07-02,2,1,4,10:17a,3.2,4,48.8,652,2025-07-02,2.5,2.5,13,5.0,6.1,13.5,8.6,11.1,2025-07-02 10:17:00
664,662,840003236994009,4,B2,129,2025-07-02,2,2,4,11:01a,4.2,4,30.9,664,2025-07-02,4.0,2.5,119,4.7,5.9,13.8,8.4,12.4,2025-07-02 11:01:00
676,210,840003236992754,7,B2,124,2025-07-02,2,2,4,11:11a,4.6,4,19.3,676,2025-07-02,3.4,2.4,14,4.7,5.8,13.9,8.2,11.6,2025-07-02 11:11:00
688,926,840003249943149,2,B2,275,2025-07-02,2,2,4,11:22a,3.6,4,15.8,688,2025-07-02,2.8,2.8,32,4.9,6.0,14.1,8.8,11.6,2025-07-02 11:22:00
700,792,840003236994288,3,B2,298,2025-07-02,2,2,4,11:35a,4.5,4,17.3,700,2025-07-02,4.7,2.9,41,4.6,5.7,14.2,8.6,13.3,2025-07-02 11:35:00
712,854,840003249943150,3,B2,53,2025-07-02,2,2,4,11:54a,5.3,4,23.7,712,2025-07-02,4.5,2.6,22,4.8,5.9,12.9,8.5,13.0,2025-07-02 11:54:00
724,1132,840003268417051,1,A1,226,2025-07-02,3,2,5,5:32p,4.7,4,27.1,724,2025-07-02,4.6,3.2,25,4.7,5.8,14.2,9.0,13.6,2025-07-02 17:32:00
736,1188,840003268417693,1,A1,86,2025-07-02,3,2,5,5:44p,4.5,4,34.2,736,2025-07-02,3.0,2.8,20,4.8,6.0,10.8,8.8,11.8,2025-07-02 17:44:00
748,1181,840003268417712,1,A1,90,2025-07-02,3,2,5,5:54p,4.1,4,29.3,748,2025-07-02,3.5,2.9,1873,5.0,6.1,12.7,9.0,12.5,2025-07-02 17:54:00
760,1149,840003268417040,1,A1,85,2025-07-02,3,2,5,6:05p,6.8,4,39.1,760,2025-07-02,2.0,2.5,355,4.8,5.9,8.3,8.4,10.4,2025-07-02 18:05:00
772,1168,840003268417049,1,A1,108,2025-07-02,3,2,5,6:15p,3.8,4,31.5,772,2025-07-02,3.6,3.0,153,4.8,6.0,12.8,9.0,12.6,2025-07-02 18:15:00
784,662,840003236994009,4,B2,129,2025-07-02,3,3,5,6:27p,4.2,4,40.0,784,2025-07-02,2.4,2.6,85,4.8,6.0,10.4,8.6,11.0,2025-07-02 18:27:00
796,679,840003236994043,4,B2,209,2025-07-02,3,3,5,6:38p,5.9,4,40.3,796,2025-07-02,4.2,3.0,15,4.9,6.0,10.5,9.0,13.2,2025-07-02 18:38:00
808,848,840003250697442,3,B2,46,2025-07-02,3,3,5,6:50p,4.2,4,43.9,808,2025-07-02,3.7,2.8,8,5.0,6.1,12.3,8.9,12.6,2025-07-02 18:50:00
