tube_no,barnname,rfid,lact,grp,dim_days,date,day_of_study,daily_milking,study_milking,milking_end,avgmilkdur_mins,milking_stall,milk_wt_lbs,tube_number,date_1,fat_percent,protein_percent,scc_thous_per_ml,lactose_percent,other_solids_percent,mun_mg_per_dl,solids_not_fat_percent,total_solids_percent,endtime
5,1159,840003268417056,1,A1,154,2025-06-30,1,2,1,5:46p,4.3,5,32.8,5,2025-06-30,4.2,2.9,167,4.7,5.8,14.5,8.7,12.9,2025-06-30 17:46:00
17,1173,840003268417025,1,A1,111,2025-06-30,1,2,1,6:09p,4.2,5,35.2,17,2025-06-30,3.5,2.9,77,5.1,6.2,13.5,9.1,12.6,2025-06-30 18:09:00
29,1151,840003268417052,1,A1,180,2025-06-30,1,2,1,6:19p,4.2,5,30.7,29,2025-06-30,3.4,2.7,13,4.8,5.9,13.8,8.6,12.0,2025-06-30 18:19:00
41,962,840003250697496,2,A1,126,2025-06-30,1,2,1,5:58p,6.3,5,39.5,41,2025-06-30,3.7,2.8,12,4.8,5.9,12.7,8.7,12.4,2025-06-30 17:58:00
53,1192,840003268417694,1,A1,68,2025-06-30,1,2,1,6:31p,3.0,5,26.3,53,2025-06-30,3.3,2.6,465,4.5,5.6,18.8,8.2,11.5,2025-06-30 18:31:00
65,34,840003236992766,7,B2,156,2025-06-30,1,3,1,6:44p,4.2,5,32.1,65,2025-06-30,3.2,3.0,548,4.5,5.6,12.4,8.6,11.8,2025-06-30 18:44:00
77,802,840003236992665,3,B2,171,2025-06-30,1,3,1,6:57p,4.9,5,31.4,77,2025-06-30,3.7,2.8,133,5.0,6.1,16.8,8.9,12.6,2025-06-30 18:57:00
89,557,840003236994393,5,B2,231,2025-06-30,1,3,1,7:08p,3.9,5,34.2,89,2025-06-30,3.0,2.8,12,4.8,6.0,12.9,8.8,11.8,2025-06-30 19:08:00
101,180,840003236992779,7,B2,191,2025-06-30,1,3,1,7:19p,3.9,5,41.8,101,2025-06-30,3.0,2.7,477,4.5,5.6,15.5,8.3,11.3,2025-06-30 19:19:00
113,468,840003236994222,5,B2,166,2025-06-30,1,3,1,7:29p,5.2,5,39.3,113,2025-06-30,4.1,3.2,266,5.0,6.1,19.5,9.3,13.4,2025-06-30 19:29:00
125,1195,840003268417703,1,A1,44,2025-06-30,1,3,1,10:43p,3.2,5,18.0,125,2025-06-30,3.6,2.5,48,4.9,6.0,13.8,8.5,12.1,2025-06-30 22:43:00
137,1104,840003268416719,1,A1,233,2025-06-30,1,3,1,10:54p,4.5,5,19.4,137,2025-06-30,3.5,2.8,92,4.7,5.8,18.6,8.6,12.1,2025-06-30 22:54:00
