tube_no,barnname,rfid,lact,grp,dim_days,date,day_of_study,daily_milking,study_milking,milking_end,avgmilkdur_mins,milking_stall,milk_wt_lbs,tube_number,date_1,fat_percent,protein_percent,scc_thous_per_ml,lactose_percent,other_solids_percent,mun_mg_per_dl,solids_not_fat_percent,total_solids_percent,endtime
10,1143,840003268417036,1,A1,199,2025-06-30,1,2,1,5:55p,4.3,10,31.9,10,2025-06-30,4.6,3.2,83,4.9,6.0,15.1,9.2,13.8,2025-06-30 17:55:00
22,1153,840003268417060,1,A1,170,2025-06-30,1,2,1,6:15p,5.0,10,41.3,22,2025-06-30,1.9,2.6,23,4.7,5.9,14.4,8.5,10.4,2025-06-30 18:15:00
34,1152,840003268417050,1,A1,176,2025-06-30,1,2,1,6:25p,3.1,10,30.5,34,2025-06-30,4.2,3.0,9,4.9,6.0,13.1,9.0,13.2,2025-06-30 18:25:00
46,1119,840003268416692,1,A1,133,2025-06-30,1,2,1,6:04p,4.4,10,33.7,46,2025-06-30,4.1,3.2,118,4.7,5.8,15.3,9.0,13.1,2025-06-30 18:04:00
58,1212,840003268417673,1,A1,38,2025-06-30,1,2,1,6:35p,4.6,10,30.9,58,2025-06-30,3.4,2.8,17,5.0,6.1,10.6,8.9,12.3,2025-06-30 18:35:00
70,619,840003268416638,4,B2,156,2025-06-30,1,3,1,6:48p,5.3,10,26.5,70,2025-06-30,3.6,2.8,26,4.9,6.0,7.0,8.8,12.4,2025-06-30 18:48:00
82,687,840003236992755,4,B2,253,2025-06-30,1,3,1,7:03p,4.6,10,37.4,82,2025-06-30,2.2,2.7,97,3.9,5.0,13.9,7.7,9.9,2025-06-30 19:03:00
94,809,840003236992655,3,B2,146,2025-06-30,1,3,1,7:13p,7.3,10,39.0,94,2025-06-30,3.6,3.0,4,4.9,6.0,14.8,9.0,12.6,2025-06-30 19:13:00
106,897,840003249943136,2,B2,263,2025-06-30,1,3,1,7:24p,3.9,10,33.9,106,2025-06-30,4.0,3.2,2,4.8,5.9,13.4,9.1,13.1,2025-06-30 19:24:00
118,901,840003268417022,3,B2,42,2025-06-30,1,3,1,7:34p,4.7,10,42.4,118,2025-06-30,1.4,2.5,0,4.5,5.6,9.7,8.1,9.5,2025-06-30 19:34:00
130,1121,840003268416710,1,A1,176,2025-06-30,1,3,1,10:38p,4.4,10,19.2,130,2025-06-30,4.1,3.0,186,4.8,6.0,13.3,9.0,13.1,2025-06-30 22:38:00
142,1193,840003268416660,1,A1,83,2025-06-30,1,3,1,10:49p,3.6,10,18.5,142,2025-06-30,3.9,2.6,69,4.8,6.0,10.0,8.6,12.5,2025-06-30 22:49:00
154,1181,840003268417712,1,A1,88,2025-06-30,1,3,1,10:58p,4.4,10,19.3,154,2025-06-30,3.8,2.8,876,4.9,6.0,12.4,8.8,12.6,2025-06-30 22:58:00
166,1126,840003268416673,1,A1,218,2025-06-30,1,3,1,11:07p,3.3,10,18.9,166,2025-06-30,4.3,3.2,23,4.4,5.6,12.1,8.8,13.1,2025-06-30 23:07:00
178,1133,840003268417071,1,A1,208,2025-06-30,1,3,1,11:17p,3.7,10,19.9,178,2025-06-30,3.5,3.0,328,4.7,5.8,12.4,8.8,12.3,2025-06-30 23:17:00
190,377,840003236994098,6,B2,231,2025-07-01,1,1,2,5:57a,4.5,10,47.6,190,2025-07-01,3.0,2.6,507,4.3,5.4,11.6,8.0,11.0,2025-07-01 05:57:00
202,662,840003236994009,4,B2,128,2025-07-01,1,1,2,6:14a,4.2,10,68.0,202,2025-07-01,2.7,2.6,52,4.9,6.0,11.5,8.6,11.3,2025-07-01 06:14:00
214,766,840003236994278,3,B2,268,2025-07-01,1,1,2,6:29a,4.6,10,54.5,214,2025-07-01,3.1,2.8,23,4.7,5.8,10.6,8.6,11.7,2025-07-01 06:29:00
226,839,840003236992683,3,B2,206,2025-07-01,1,1,2,6:41a,3.1,10,55.0,226,2025-07-01,3.2,3.0,3,4.8,5.9,13.9,8.9,12.1,2025-07-01 06:41:00
238,458,840003236992403,6,B2,24,2025-07-01,1,1,2,6:54a,4.3,10,49.7,238,2025-07-01,3.5,2.7,76,4.8,5.9,8.1,8.6,12.1,2025-07-01 06:54:00
250,1198,840003268417676,1,A1,72,2025-07-01,1,1,2,10:04a,4.0,10,53.5,250,2025-07-01,1.8,2.4,83,4.8,6.0,13.8,8.4,10.2,2025-07-01 10:04:00
262,1153,840003268417060,1,A1,171,2025-07-01,1,1,2,10:24a,5.1,10,60.0,262,2025-07-01,1.4,2.6,11,4.8,5.9,14.4,8.5,9.9,2025-07-01 10:24:00
