tube_no,barnname,rfid,lact,grp,dim_days,date,day_of_study,daily_milking,study_milking,milking_end,avgmilkdur_mins,milking_stall,milk_wt_lbs,tube_number,date_1,fat_percent,protein_percent,scc_thous_per_ml,lactose_percent,other_solids_percent,mun_mg_per_dl,solids_not_fat_percent,total_solids_percent,endtime
3,1145,840003268417034,1,A1,188,2025-06-30,1,2,1,5:46p,3.2,3,32.0,3,2025-06-30,3.9,3.1,312,4.8,5.9,12.9,9.0,12.9,2025-06-30 17:46:00
15,1178,840003268417031,1,A1,80,2025-06-30,1,2,1,6:09p,3.7,3,34.2,15,2025-06-30,3.9,2.5,2506,4.9,6.0,15.2,8.5,12.4,2025-06-30 18:09:00
27,1132,840003268417051,1,A1,224,2025-06-30,1,2,1,6:18p,4.7,3,26.1,27,2025-06-30,4.7,3.1,59,4.7,5.8,16.5,8.9,13.6,2025-06-30 18:18:00
39,1189,840003268417685,1,A1,104,2025-06-30,1,2,1,5:58p,2.6,3,25.0,39,2025-06-30,3.9,3.1,255,4.9,6.0,15.2,9.1,13.0,2025-06-30 17:58:00
51,1104,840003268416719,1,A1,233,2025-06-30,1,2,1,6:31p,4.5,3,37.8,51,2025-06-30,3.1,2.8,79,4.8,5.9,18.6,8.7,11.8,2025-06-30 18:31:00
63,487,840003236993327,5,B2,74,2025-06-30,1,3,1,6:43p,4.4,3,33.5,63,2025-06-30,4.7,2.5,5,4.8,5.9,20.2,8.4,13.1,2025-06-30 18:43:00
75,947,840003250697476,2,B2,231,2025-06-30,1,3,1,6:56p,3.3,3,35.7,75,2025-06-30,4.2,3.0,37,4.6,5.7,17.8,8.7,12.9,2025-06-30 18:56:00
87,792,840003236994288,3,B2,296,2025-06-30,1,3,1,7:08p,4.5,3,28.0,87,2025-06-30,3.1,3.1,22,4.7,5.8,13.3,8.9,12.0,2025-06-30 19:08:00
99,940,840003250697495,2,B2,207,2025-06-30,1,3,1,7:18p,5.0,3,34.9,99,2025-06-30,2.6,3.0,5,5.0,6.1,15.7,9.1,11.7,2025-06-30 19:18:00
111,425,840003236994213,5,B2,26,2025-06-30,1,3,1,7:28p,5.7,3,33.8,111,2025-06-30,3.4,2.6,255,4.8,5.9,10.5,8.5,11.9,2025-06-30 19:28:00
123,1191,840003268417677,1,A1,74,2025-06-30,1,3,1,10:42p,4.3,3,16.1,123,2025-06-30,3.5,2.7,358,4.6,5.8,13.4,8.5,12.0,2025-06-30 22:42:00
135,1217,840003268416447,1,A1,28,2025-06-30,1,3,1,10:54p,4.2,3,11.6,135,2025-06-30,2.7,2.8,180,4.8,5.9,14.4,8.7,11.4,2025-06-30 22:54:00
147,1159,840003268417056,1,A1,154,2025-06-30,1,3,1,11:03p,4.3,3,19.2,147,2025-06-30,3.9,2.9,263,4.8,5.9,12.0,8.8,12.7,2025-06-30 23:03:00
