tube_no,barnname,rfid,lact,grp,dim_days,date,day_of_study,daily_milking,study_milking,milking_end,avgmilkdur_mins,milking_stall,milk_wt_lbs,tube_number,date_1,fat_percent,protein_percent,scc_thous_per_ml,lactose_percent,other_solids_percent,mun_mg_per_dl,solids_not_fat_percent,total_solids_percent,endtime
8,1139,840003268417029,1,A1,196,2025-06-30,1,2,1,5:52p,3.4,8,32.5,8,2025-06-30,3.2,2.7,17,4.9,6.1,14.9,8.8,12.0,2025-06-30 17:52:00
20,1137,840003268417057,1,A1,213,2025-06-30,1,2,1,6:14p,3.6,8,33.2,20,2025-06-30,3.5,2.8,6,5.0,6.1,13.6,8.9,12.4,2025-06-30 18:14:00
32,1200,840003268417695,1,A1,52,2025-06-30,1,2,1,6:25p,4.7,8,24.6,32,2025-06-30,3.1,2.7,6,5.0,6.1,14.2,8.8,11.9,2025-06-30 18:25:00
44,1193,840003268416660,1,A1,83,2025-06-30,1,2,1,6:04p,3.6,8,30.6,44,2025-06-30,3.7,2.6,62,4.9,6.0,13.4,8.6,12.3,2025-06-30 18:04:00
56,1101,840003268416711,1,A1,234,2025-06-30,1,2,1,6:36p,4.2,8,29.7,56,2025-06-30,4.3,3.0,46,4.9,6.0,16.4,9.0,13.3,2025-06-30 18:36:00
68,961,840003250697461,2,B2,233,2025-06-30,1,3,1,6:48p,3.2,8,29.5,68,2025-06-30,3.3,3.2,832,4.7,5.8,12.6,9.0,12.3,2025-06-30 18:48:00
80,794,840003236994264,3,B2,214,2025-06-30,1,3,1,7:03p,5.7,8,41.0,80,2025-06-30,4.4,3.1,11,4.8,5.9,14.9,9.0,13.4,2025-06-30 19:03:00
92,662,840003236994009,4,B2,127,2025-06-30,1,3,1,7:13p,4.3,8,43.0,92,2025-06-30,2.5,2.6,85,4.9,6.0,13.9,8.6,11.1,2025-06-30 19:13:00
104,584,840003236994201,5,B2,141,2025-06-30,1,3,1,7:24p,3.6,8,33.4,104,2025-06-30,3.9,2.9,12,4.9,6.0,15.4,8.9,12.8,2025-06-30 19:24:00
116,655,840003236994015,4,B2,289,2025-06-30,1,3,1,7:34p,5.0,8,33.3,116,2025-06-30,2.2,3.4,749,4.8,6.0,13.2,9.4,11.6,2025-06-30 19:34:00
