tube_no,barnname,rfid,lact,grp,dim_days,date,day_of_study,daily_milking,study_milking,milking_end,avgmilkdur_mins,milking_stall,milk_wt_lbs,tube_number,date_1,fat_percent,protein_percent,scc_thous_per_ml,lactose_percent,other_solids_percent,mun_mg_per_dl,solids_not_fat_percent,total_solids_percent,endtime
6,1121,840003268416710,1,A1,176,2025-06-30,1,2,1,5:46p,4.4,6,29.2,6,2025-06-30,4.1,3.0,108,4.9,6.0,13.6,9.0,13.1,2025-06-30 17:46:00
18,1118,840003268416684,1,A1,242,2025-06-30,1,2,1,6:09p,3.7,6,32.5,18,2025-06-30,3.7,3.0,11,4.8,5.9,16.7,8.9,12.6,2025-06-30 18:09:00
30,1133,840003268417071,1,A1,208,2025-06-30,1,2,1,6:19p,3.7,6,30.0,30,2025-06-30,3.2,3.0,226,4.7,5.8,13.3,8.8,12.0,2025-06-30 18:19:00
42,1144,840003268417043,1,A1,190,2025-06-30,1,2,1,5:58p,4.3,6,33.0,42,2025-06-30,3.8,2.6,15,4.7,5.8,15.8,8.4,12.2,2025-06-30 17:58:00
54,1186,840003268417687,1,A1,67,2025-06-30,1,2,1,6:31p,4.3,6,38.4,54,2025-06-30,2.8,2.6,1005,4.6,5.7,13.2,8.3,11.1,2025-06-30 18:31:00
66,490,840003236993334,5,B2,172,2025-06-30,1,3,1,6:44p,4.2,6,38.4,66,2025-06-30,3.4,2.8,220,4.7,5.8,13.6,8.6,12.0,2025-06-30 18:44:00
78,645,840003236994019,4,B2,265,2025-06-30,1,3,1,6:57p,5.0,6,33.3,78,2025-06-30,4.5,3.2,400,4.7,5.8,15.5,9.0,13.5,2025-06-30 18:57:00
90,848,840003250697442,3,B2,44,2025-06-30,1,3,1,7:09p,4.4,6,55.3,90,2025-06-30,3.4,2.7,10,5.0,6.1,14.4,8.8,12.2,2025-06-30 19:09:00
102,210,840003236992754,7,B2,122,2025-06-30,1,3,1,7:19p,4.6,6,48.9,102,2025-06-30,3.3,2.7,9,5.0,6.1,16.7,8.8,12.1,2025-06-30 19:19:00
114,791,840003236994269,3,B2,283,2025-06-30,1,3,1,7:29p,5.5,6,34.2,114,2025-06-30,3.4,2.9,126,5.0,6.1,16.3,9.0,12.4,2025-06-30 19:29:00
126,1147,840003268417066,1,A1,192,2025-06-30,1,3,1,10:43p,5.0,6,19.6,126,2025-06-30,4.7,2.9,275,4.5,5.6,16.0,8.5,13.2,2025-06-30 22:43:00
138,962,840003250697496,2,A1,126,2025-06-30,1,3,1,10:54p,6.3,6,23.0,138,2025-06-30,4.3,2.7,21,4.8,5.9,13.1,8.6,12.9,2025-06-30 22:54:00
150,1119,840003268416692,1,A1,133,2025-06-30,1,3,1,11:03p,4.4,6,20.8,150,2025-06-30,4.3,3.3,130,4.5,5.6,15.0,8.9,13.2,2025-06-30 23:03:00
162,1224,840003268416437,1,A1,22,2025-06-30,1,3,1,11:12p,3.4,6,23.6,162,2025-06-30,3.1,2.7,157,4.7,5.8,9.5,8.5,11.6,2025-06-30 23:12:00
174,1192,840003268417694,1,A1,68,2025-06-30,1,3,1,11:25p,3.0,6,17.2,174,2025-06-30,3.7,2.6,536,4.6,5.7,16.5,8.3,12.0,2025-06-30 23:25:00
186,992,840003250697416,2,B2,50,2025-07-01,1,1,2,6:13a,3.9,6,50.2,186,2025-07-01,2.4,2.8,0,4.8,5.9,10.4,8.7,11.1,2025-07-01 06:13:00
198,926,840003249943149,2,B2,274,2025-07-01,1,1,2,6:27a,3.6,6,50.9,198,2025-07-01,3.1,2.9,16,4.8,5.9,13.8,8.8,11.9,2025-07-01 06:27:00
210,683,840003236994031,4,B2,186,2025-07-01,1,1,2,6:39a,4.4,6,56.3,210,2025-07-01,2.4,2.7,0,5.0,6.1,12.9,8.8,11.2,2025-07-01 06:39:00
222,907,840003249943144,2,B2,213,2025-07-01,1,1,2,6:51a,4.1,6,63.5,222,2025-07-01,3.1,2.9,732,4.8,5.9,11.5,8.8,11.9,2025-07-01 06:51:00
234,999,840003250697439,2,B2,49,2025-07-01,1,1,2,7:03a,4.6,6,51.6,234,2025-07-01,2.8,2.7,34,4.8,5.9,12.3,8.6,11.4,2025-07-01 07:03:00
246,1146,840003268417055,1,A1,180,2025-07-01,1,1,2,9:55a,5.1,6,49.0,246,2025-07-01,2.1,2.9,5,4.8,5.9,8.8,8.8,10.9,2025-07-01 09:55:00
258,1181,840003268417712,1,A1,89,2025-07-01,1,1,2,10:06a,4.4,6,43.4,258,2025-07-01,2.6,2.8,449,5.0,6.1,12.3,8.9,11.5,2025-07-01 10:06:00
270,1209,840003268417681,1,A1,31,2025-07-01,1,1,2,10:26a,3.8,6,52.9,270,2025-07-01,2.7,2.5,112,4.9,6.0,11.2,8.5,11.2,2025-07-01 10:26:00
282,1212,840003268417673,1,A1,39,2025-07-01,1,1,2,10:37a,4.7,6,44.1,282,2025-07-01,2.7,2.7,10,5.1,6.2,11.9,8.9,11.6,2025-07-01 10:37:00
294,1189,840003268417685,1,A1,105,2025-07-01,1,1,2,10:49a,2.6,6,37.8,294,2025-07-01,3.5,3.0,132,4.9,6.1,14.9,9.1,12.6,2025-07-01 10:49:00
