tube_no,barnname,rfid,lact,grp,dim_days,date,day_of_study,daily_milking,study_milking,milking_end,avgmilkdur_mins,milking_stall,milk_wt_lbs,tube_number,date_1,fat_percent,protein_percent,scc_thous_per_ml,lactose_percent,other_solids_percent,mun_mg_per_dl,solids_not_fat_percent,total_solids_percent,endtime
7,1138,840003268417054,1,A1,202,2025-06-30,1,2,1,5:51p,4.7,7,38.6,7,2025-06-30,4.2,3.2,25,4.8,6.0,14.2,9.2,13.4,2025-06-30 17:51:00
19,1148,840003268417044,1,A1,145,2025-06-30,1,2,1,6:14p,2.6,7,25.9,19,2025-06-30,2.0,3.1,374,5.2,6.3,10.5,9.4,11.4,2025-06-30 18:14:00
31,1167,840003268417033,1,A1,129,2025-06-30,1,2,1,6:26p,3.6,7,32.0,31,2025-06-30,3.8,3.0,96,5.0,6.2,15.5,9.2,13.0,2025-06-30 18:26:00
43,1175,840003268417070,1,A1,91,2025-06-30,1,2,1,6:04p,3.4,7,31.3,43,2025-06-30,3.9,2.8,45,4.8,5.9,16.0,8.7,12.6,2025-06-30 18:04:00
55,1191,840003268417677,1,A1,74,2025-06-30,1,2,1,6:36p,4.3,7,32.2,55,2025-06-30,4.8,2.7,326,4.9,6.1,14.2,8.8,13.6,2025-06-30 18:36:00
67,265,840003250697421,6,B2,220,2025-06-30,1,3,1,6:48p,3.3,7,33.5,67,2025-06-30,3.3,2.6,36,4.7,5.8,14.1,8.4,11.7,2025-06-30 18:48:00
79,760,840003236994258,3,B2,274,2025-06-30,1,3,1,7:02p,4.3,7,38.7,79,2025-06-30,4.4,2.7,21,4.8,5.9,14.2,8.6,13.0,2025-06-30 19:02:00
91,661,840003236994032,4,B2,176,2025-06-30,1,3,1,7:13p,4.8,7,40.2,91,2025-06-30,2.8,2.8,14,4.7,5.8,11.4,8.6,11.4,2025-06-30 19:13:00
103,916,840003249943143,2,B2,314,2025-06-30,1,3,1,7:24p,4.8,7,29.5,103,2025-06-30,4.2,3.1,5,4.9,6.0,17.4,9.1,13.3,2025-06-30 19:24:00
115,967,840003250697462,2,B2,94,2025-06-30,1,3,1,7:34p,4.3,7,39.0,115,2025-06-30,2.1,2.3,8,4.2,5.3,14.2,7.6,9.7,2025-06-30 19:34:00
127,1139,840003268417029,1,A1,196,2025-06-30,1,3,1,10:37p,3.4,7,20.0,127,2025-06-30,3.3,2.6,32,4.8,6.0,14.5,8.6,11.9,2025-06-30 22:37:00
