tube_no,barnname,rfid,lact,grp,dim_days,date,day_of_study,daily_milking,study_milking,milking_end,avgmilkdur_mins,milking_stall,milk_wt_lbs,tube_number,date_1,fat_percent,protein_percent,scc_thous_per_ml,lactose_percent,other_solids_percent,mun_mg_per_dl,solids_not_fat_percent,total_solids_percent,endtime
2,1146,840003268417055,1,A1,179,2025-06-30,1,2,1,5:46p,3.3,2,31.0,2,2025-06-30,3.0,3.0,10,4.7,5.8,8.7,8.8,11.8,2025-06-30 17:46:00
14,1182,840003268417679,1,A1,84,2025-06-30,1,2,1,6:09p,3.6,2,20.7,14,2025-06-30,3.1,2.4,189,5.0,6.1,15.9,8.5,11.6,2025-06-30 18:09:00
26,1214,840003268416452,1,A1,26,2025-06-30,1,2,1,6:18p,4.0,2,28.4,26,2025-06-30,3.5,2.8,23,4.8,6.0,11.3,8.8,12.3,2025-06-30 18:18:00
38,1157,840003268417026,1,A1,156,2025-06-30,1,2,1,5:58p,4.2,2,31.1,38,2025-06-30,3.6,2.7,1003,4.7,5.8,16.0,8.5,12.1,2025-06-30 17:58:00
50,1168,840003268417049,1,A1,106,2025-06-30,1,2,1,6:30p,3.7,2,31.1,50,2025-06-30,3.6,2.7,61,4.9,6.0,14.3,8.7,12.3,2025-06-30 18:30:00
62,992,840003250697416,2,B2,49,2025-06-30,1,3,1,6:43p,4.0,2,36.8,62,2025-06-30,3.8,2.8,8,4.9,6.0,12.6,8.8,12.6,2025-06-30 18:43:00
74,934,840003249943164,2,B2,243,2025-06-30,1,3,1,6:57p,3.8,2,25.2,74,2025-06-30,3.1,2.6,11,4.7,5.8,15.4,8.4,11.5,2025-06-30 18:57:00
86,906,840003249943125,2,B2,205,2025-06-30,1,3,1,7:08p,4.2,2,31.6,86,2025-06-30,3.8,2.9,3,4.9,6.1,15.2,9.0,12.8,2025-06-30 19:08:00
98,800,840003236994285,3,B2,170,2025-06-30,1,3,1,7:18p,5.1,2,34.1,98,2025-06-30,3.9,3.0,8,4.9,6.0,15.9,9.0,12.9,2025-06-30 19:18:00
110,985,840003250697506,2,B2,95,2025-06-30,1,3,1,7:28p,3.9,2,39.9,110,2025-06-30,3.5,2.8,9,4.9,6.0,14.6,8.8,12.3,2025-06-30 19:28:00
122,1083,840003268416706,1,A1,248,2025-06-30,1,3,1,10:42p,4.2,2,17.7,122,2025-06-30,3.9,3.0,12,4.6,5.7,12.7,8.7,12.6,2025-06-30 22:42:00
134,1212,840003268417673,1,A1,38,2025-06-30,1,3,1,10:54p,4.6,2,17.0,134,2025-06-30,3.3,2.7,19,4.9,6.0,10.0,8.7,12.0,2025-06-30 22:54:00
146,1194,840003268417675,1,A1,42,2025-06-30,1,3,1,11:03p,4.2,2,20.4,146,2025-06-30,4.1,2.9,33,4.8,5.9,8.6,8.8,12.9,2025-06-30 23:03:00
158,1137,840003268417057,1,A1,213,2025-06-30,1,3,1,11:12p,3.6,2,19.9,158,2025-06-30,3.7,2.8,0,5.0,6.1,11.5,8.9,12.6,2025-06-30 23:12:00
170,1213,840003268417672,1,A1,35,2025-06-30,1,3,1,11:23p,3.8,2,19.3,170,2025-06-30,3.1,2.3,216,4.4,5.5,12.8,7.8,10.9,2025-06-30 23:23:00
182,456,840003236993676,5,B2,212,2025-07-01,1,1,2,6:12a,4.5,2,52.3,182,2025-07-01,3.0,3.1,11,4.8,5.9,9.0,9.0,12.0,2025-07-01 06:12:00
194,940,840003250697495,2,B2,208,2025-07-01,1,1,2,6:26a,5.1,2,49.5,194,2025-07-01,2.1,3.1,6,4.9,6.0,13.4,9.1,11.2,2025-07-01 06:26:00
206,809,840003236992655,3,B2,147,2025-07-01,1,1,2,6:38a,7.4,2,54.0,206,2025-07-01,2.7,3.0,2,4.9,6.0,12.1,9.0,11.7,2025-07-01 06:38:00
218,792,840003236994288,3,B2,297,2025-07-01,1,1,2,6:50a,4.6,2,42.6,218,2025-07-01,2.8,3.1,15,4.6,5.8,10.2,8.9,11.7,2025-07-01 06:50:00
230,487,840003236993327,5,B2,75,2025-07-01,1,1,2,7:02a,4.4,2,44.1,230,2025-07-01,3.3,2.6,5,4.9,6.0,14.6,8.6,11.9,2025-07-01 07:02:00
242,1083,840003268416706,1,A1,249,2025-07-01,1,1,2,9:53a,4.1,2,41.3,242,2025-07-01,3.3,3.0,10,4.9,6.0,12.8,9.0,12.3,2025-07-01 09:53:00
254,1159,840003268417056,1,A1,155,2025-07-01,1,1,2,10:05a,4.3,2,43.6,254,2025-07-01,3.0,2.8,141,4.8,6.0,11.4,8.8,11.8,2025-07-01 10:05:00
